Customer ID,Loan Sanction Amount (USD)
C-26247,75124.29795
C-35067,55607.10113
C-34590,97464.23139
C-16668,58908.83176
C-12196,56002.83875
C-2600,10848.27861
C-9047,80969.26327
C-2206,72987.14419
C-25607,16751.32273
C-11606,21504.36176
C-3624,57311.54724
C-43027,25234.85136
C-15190,117609.5251
C-25816,10173.17211
C-26370,30964.9689
C-1281,154586.8872
C-29433,-138.4830614
C-36256,45602.44291
C-34217,33407.40955
C-39950,55091.98755
C-6756,14133.89531
C-26652,47163.86256
C-3991,50549.16064
C-40312,32102.46885
C-24580,149991.5484
C-4949,67599.46198
C-18783,71074.36375
C-39205,61357.21893
C-23784,35787.19241
C-39508,87704.61672
C-19062,94316.21298
C-48140,33016.40097
C-11314,64359.41039
C-766,58861.00007
C-39319,1913.824932
C-15299,42810.6353
C-10298,27782.87639
C-25573,44582.82867
C-18750,15706.94895
C-19298,25005.71771
C-11497,49900.63833
C-42250,14129.34044
C-17501,31751.26079
C-24290,45129.376
C-8590,84174.44566
C-8038,51777.94519
C-25261,41261.11723
C-32634,6530.699215
C-15073,37602.94178
C-44174,13250.88592
C-31916,61351.44191
C-30620,15574.97359
C-12561,39791.5449
C-40301,98747.08163
C-14716,11973.00095
C-27558,42656.26035
C-32563,35221.79195
C-31387,15928.61805
C-45649,35266.93796
C-22572,19620.00985
C-48427,55758.85786
C-24904,54755.37767
C-27683,11171.40934
C-43495,64285.45513
C-25735,20130.23265
C-21375,67376.26746
C-41309,54024.49501
C-7767,18453.92205
C-11841,37654.08094
C-5763,77954.76723
C-8389,33250.00715
C-16692,33641.88485
C-33430,109196.7801
C-2953,160646.4238
C-11912,17770.66227
C-6072,51054.99384
C-6321,32311.94459
C-26772,57069.25806
C-24747,44785.20662
C-20883,142110.0583
C-11751,38917.69155
C-24776,71521.75018
C-20642,17621.13115
C-9613,35588.51209
C-45334,54946.50604
C-37941,54363.15869
C-2908,34071.70173
C-13784,23113.29021
C-26710,50357.45495
C-1892,49664.26563
C-49928,89409.95993
C-23082,73792.95801
C-27939,40030.60635
C-41801,-347.051339
C-19700,3980.777309
C-43113,30287.8126
C-27336,68502.17305
C-36772,33562.46723
C-3197,3393.752946
C-14674,61078.4688
C-5092,13016.21657
C-41664,31423.14298
C-85,24354.03659
C-48382,32550.37115
C-35744,66299.45086
C-32776,18218.65263
